Date,Avg_Magnitude_Forecast,Avg_Magnitude_Lower_CI,Avg_Magnitude_Upper_CI,Date,Meteor_Count_Forecast,Meteor_Count_Lower_CI,Meteor_Count_Upper_CI,Date,Peak_Activity_Forecast,Peak_Activity_Lower_CI,Peak_Activity_Upper_CI
2025-03-10 21:55:00,23257.691939106688,22289.354835484373,24226.029042729002,2025-03-10 21:55:00,153961.44444444444,131239.25443620962,176683.63445267925,2025-03-10 21:55:00,0.4444444444444444,0.30777733229311405,0.5811115565957747
2025-03-11 21:55:00,23259.81499459292,22285.21027147034,24234.419717715504,2025-03-11 21:55:00,153961.44444444444,131094.74399927445,176828.14488961443,2025-03-11 21:55:00,0.4444444444444444,0.3068927462781745,0.5819961426107143
2025-03-12 21:55:00,23261.938050079156,22281.1057573736,24242.770342784712,2025-03-12 21:55:00,153961.44444444444,130951.14110598431,176971.74778290457,2025-03-12 21:55:00,0.4444444444444444,0.3060138127437079,0.5828750761451809
2025-03-13 21:55:00,23264.06110556539,22277.040535113476,24251.081676017304,2025-03-13 21:55:00,153961.44444444444,130808.42886964811,177114.46001924077,2025-03-13 21:55:00,0.4444444444444444,0.30514042469732705,0.5837484641915618
2025-03-14 21:55:00,23266.184161051624,22273.01387022713,24259.35445187612,2025-03-14 21:55:00,153961.44444444444,130666.59092085315,177256.2979680357,2025-03-14 21:55:00,0.4444444444444444,0.30427247847997063,0.5846164104089182
2025-03-15 21:55:00,23268.307216537858,22269.025050852106,24267.58938222361,2025-03-15 21:55:00,153961.44444444444,130525.61138554967,177397.2775033392,2025-03-15 21:55:00,0.4444444444444444,0.303409873622302,0.5854790152665869
2025-03-16 21:55:00,23270.430272024092,22265.073386764536,24275.78715728365,2025-03-16 21:55:00,153961.44444444444,130385.47486431483,177537.41402457404,2025-03-16 21:55:00,0.4444444444444444,0.30255251270896405,0.5863363761799247
2025-03-17 21:55:00,23272.553327510326,22261.15820846931,24283.94844655134,2025-03-17 21:55:00,153961.44444444444,130246.16641271964,177676.72247616923,2025-03-17 21:55:00,0.4444444444444444,0.30170030125017344,0.5871885876387154
2025-03-18 21:55:00,23274.67638299656,22257.2788663389,24292.07389965422,2025-03-18 21:55:00,153961.44444444444,130107.67152272783,177815.21736616106,2025-03-18 21:55:00,0.4444444444444444,0.3008531475601734,0.5880357413287154
2025-03-19 21:55:00,23276.799438482794,22253.434729797584,24300.164147168005,2025-03-19 21:55:00,153961.44444444444,129969.97610506113,177952.91278382775,2025-03-19 21:55:00,0.4444444444444444,0.30001096264210336,0.5888779262467855
2025-03-20 21:55:00,23278.92249396903,22249.625186548303,24308.219801389754,2025-03-20 21:55:00,153961.44444444444,129833.06647247035,178089.82241641852,2025-03-20 21:55:00,0.4444444444444444,0.2991736600788759,0.5897152288100129
2025-03-21 21:55:00,23281.045549455263,22245.849641839344,24316.24145707118,2025-03-21 21:55:00,153961.44444444444,129696.9293238562,178225.95956503268,2025-03-21 21:55:00,0.4444444444444444,0.29834115592968236,0.5905477329592065
2025-03-22 21:55:00,23283.168604941497,22242.107517768443,24324.22969211455,2025-03-22 21:55:00,153961.44444444444,129561.55172918711,178361.33715970177,2025-03-22 21:55:00,0.4444444444444444,0.2975133686317759,0.5913755202571129
2025-03-23 21:55:00,23285.29166042773,22238.398252621984,24332.185068233477,2025-03-23 21:55:00,153961.44444444444,129426.92111516658,178495.9677737223,2025-03-23 21:55:00,0.4444444444444444,0.29669021890720826,0.5921986699816806
2025-03-24 21:55:00,23287.414715913965,22234.721300247125,24340.108131580804,2025-03-24 21:55:00,153961.44444444444,129293.02525160415,178629.86363728472,2025-03-24 21:55:00,0.4444444444444444,0.29587162967421543,0.5930172592146734
2025-03-25 21:55:00,23289.5377714002,22231.076129454916,24347.999413345482,2025-03-25 21:55:00,153961.44444444444,129159.85223844882,178763.03665044007,2025-03-25 21:55:00,0.4444444444444444,0.29505752596297535,0.5938313629259135
2025-03-26 21:55:00,23291.660826886433,22227.462223452516,24355.85943032035,2025-03-26 21:55:00,153961.44444444444,129027.39049344572,178895.49839544317,2025-03-26 21:55:00,0.4444444444444444,0.29424783483547423,0.5946410540534146
2025-03-27 21:55:00,23293.783882372667,22223.87907930284,24363.688685442496,2025-03-27 21:55:00,153961.44444444444,128895.62874037994,179027.26014850894,2025-03-27 21:55:00,0.4444444444444444,0.2934424853092408,0.5954464035796481
2025-03-28 21:55:00,23295.9069378589,22220.32620740996,24371.487668307844,2025-03-28 21:55:00,153961.44444444444,128764.55599787354,179158.33289101534,2025-03-28 21:55:00,0.4444444444444444,0.29264140828472185,0.596247480604167
2025-03-29 21:55:00,23298.029993345135,22216.80313102887,24379.2568556614,2025-03-29 21:55:00,153961.44444444444,128634.16156870448,179288.72732018438,2025-03-29 21:55:00,0.4444444444444444,0.29184453647608966,0.5970443524127992
2025-03-30 21:55:00,23300.15304883137,22213.30938579815,24386.996711864587,2025-03-30 21:55:00,153961.44444444444,128504.435029618,179418.45385927087,2025-03-30 21:55:00,0.4444444444444444,0.2910518043452836,0.5978370845436052
2025-03-31 21:55:00,23302.276104317603,22209.84451929424,24394.707689340965,2025-03-31 21:55:00,153961.44444444444,128375.36622160274,179547.52266728613,2025-03-31 21:55:00,0.4444444444444444,0.2902631480391054,0.5986257408497835
2025-04-01 21:55:00,23304.399159803837,22206.408090606168,24402.390229001507,2025-04-01 21:55:00,153961.44444444444,128246.94524060644,179675.94364828244,2025-04-01 21:55:00,0.4444444444444444,0.2894785053291946,0.5994103835596942
2025-04-02 21:55:00,23306.52221529007,22202.99966992952,24410.044760650624,2025-04-02 21:55:00,153961.44444444444,128119.16242866655,179803.72646022233,2025-04-02 21:55:00,0.4444444444444444,0.2886978155547261,0.6001910733341627
2025-04-03 21:55:00,23308.645270776306,22199.618838178678,24417.671703373933,2025-04-03 21:55:00,153961.44444444444,127992.008365434,179930.88052345486,2025-04-03 21:55:00,0.4444444444444444,0.2879210195676805,0.6009678693212084
2025-04-04 21:55:00,23310.76832626254,22196.265186616263,24425.271465908816,2025-04-04 21:55:00,153961.44444444444,127865.47386006836,180057.4150288205,2025-04-04 21:55:00,0.4444444444444444,0.28714805968054635,0.6017408292083425
